i,j,shared_len
147,1565,190.9412681742055
147,1562,171.38574943081267
147,1561,103.70933031819813
147,1519,210.4245725669681
147,1560,106.253870950746
147,1547,0
147,1533,1.506053867450508
148,439,27.9140830770272
148,1070,0
148,366,31.620685172374394
148,440,9.787114754870506
148,462,89.50704398870023
148,1388,11.538098052090174
148,1116,0
149,1557,29.73213752828884
149,1529,35.8089132759861
150,138,139.17614738165446
151,1233,14.89602631566942
151,1611,6.9836076314668425
151,808,7.912418684202578
151,539,0
152,122,0
152,1219,45.221676218380054
152,1454,0
153,803,45.86503361505464
153,686,39.361927236196266
154,278,12.806248474865697
154,279,8.288498054554703
155,1016,0.9672933169807097
155,1054,1.8597507934370345
155,157,28.623033951293152
156,1444,21.816252926923994
156,607,0.0020018584476975596
156,405,55.47351346406444
157,299,10.647159245541284
157,1108,28.930556223453987
157,254,0
158,1316,105.3458065592369
158,883,91.0362561045862
158,1317,39.74761353220843
158,1453,19.873260930219224
158,40,18.281679427145058
159,483,0
159,895,57.318180379854596
160,1470,0
160,154,5.735573959699438
160,923,8.785308748971065
160,1332,8.743652034614422
160,1252,180.5132449994428
160,1477,0
161,978,35.08241137359231
161,928,17.544902079970548
161,348,25.87158242772892
161,1304,0
162,17,153.77895322179356
162,781,0
162,1425,0
163,469,79.05999574497866
163,618,10.893612514764868
164,1222,16.801353609663202
164,1294,14.977103969299659
164,1049,0.0013495892420762163
164,1635,14.039322404399892
164,1148,0
165,1347,0
165,1175,15.524174696260024
165,1147,0
166,741,5.789127740889044
166,1080,39.13306724858949
167,1455,63.661605383431564
167,416,29.230805667969108
168,949,0.3036445290569496
168,220,0
168,146,0
168,221,0.3036445290569496
169,942,31.622776601683796
169,77,0
170,1108,0
170,254,44.181444068749045
170,1202,0
171,1540,4.060849289610681
171,1539,7.010088850434283
171,1527,0
171,1567,21.730472851126812
171,1523,24.458450706073634
171,1541,5.48234779562424
172,36,22.83128851681379
173,1496,105.60639202539043
174,1018,12.139901068178045
174,1131,12.082441736366736
175,1432,71.0486509372423
175,84,0
175,1396,28.490538780432956
175,684,0
176,1082,0
176,1081,43.60481860435878
176,1254,0
177,98,0
177,258,40.52159917870962
177,1052,0
178,147,7.295613868712094
178,628,0
178,1423,80.22629028607187
178,219,2.9201698295653142
178,1023,85.6317293042963
178,1307,117.24715242519669
178,370,22.712526665339844
178,660,65.38155614295614
178,690,15.097622921126703
179,985,14.991845926055996
179,168,2.1275802428411734
179,1451,0
179,181,7.9750915544766094
179,278,0
179,1361,6.074276964958685
180,399,34.015688205477424
180,1247,12.072307670023765
180,1404,0
181,267,7.418983913861922
182,998,0
182,580,102.31032038690643
182,577,24.068095398486527
182,33,0
182,1336,15.005214734072034
182,1166,0
182,135,2.337407201184722
183,677,5.512489039412349
183,685,1.2199403105829865
183,200,1.130128754169338
183,231,1.490787027282276
183,187,5.347216601630718
183,636,19.532480883042865
183,1401,21.439304405520442
183,266,0
183,201,2.3642608313035756
184,1038,21.444777364927493
184,67,31.211833298270278
184,984,0
184,265,0.25533748249820076
184,574,9.76884151018048
185,506,13.405205236802718
185,582,52.98860835639147
185,1472,37.42094775484833
186,1521,0
186,255,36.001396901998746
186,86,0.006915364693768758
